# COLUMN1: CALIFA_ID  , int    , the ID of the CALIFA galaxy 
# COLUMN2: name       , string , Galaxy name 
# COLUMN3: db_name    , string , Name in CALIFA database 
# COLUMN4: RA, float  , degrees, right ascension J2000.0 
# COLUMN5: DE, float  , degrees, declination J2000.0
# COLUMN6: hubble_type, int    , Hubble type (see accompanying text file)
# COLUMN7: bar        , int    , Barredness A (0) or AB (1) or B (2)
# COLUMN8: merger     , int    , Merging (1) or Isolated (0)
#CALIFA_ID                 name              db_name         RA        DEC    hubble_type      bar       merger
#
       114              NGC1142              NGC1142   43.80094   -0.18356         16          0          1 
       115             UGC02403             UGC02403   43.98857    0.69261         12          2          0 
       116             UGC02405             UGC02405   43.98989    6.49478         13          0          0 
       117             UGC02443             UGC02443   44.58960   -2.04188         15          0          0 
       118             UGC02465             UGC02465   45.15594   35.16915          8          0          0 
       119              NGC1167              NGC1167   45.42640   35.20562          8          0          0 
       120              NGC1194              NGC1194   45.95462   -1.10374          9          0          0 
       121              NGC1211              NGC1211   46.71843   -0.79449          9          2          0 
       122        MCG-01-09-006        MCG-01-09-006   47.20135   -7.04061         13          1          0 
       123               IC0307               IC0307   48.43840   -0.24146         11          2          0 
       124             UGC02628             UGC02628   49.13266   -0.46814         13          1          0 
       125             UGC02690             UGC02690   50.17893   -1.10864         15          1          0 
       126              NGC1324              NGC1324   51.25702   -5.74580         12          0          0 
       127              NGC1349              NGC1349   52.86463    4.38090          6          0          0 
       128              NGC1361              NGC1361   53.57393   -6.26500          5          0          0 
       129        MCG-01-10-015        MCG-01-10-015   54.66318   -5.34735         14          1          0 
       130        MCG-01-10-019        MCG-01-10-019   55.17910   -6.41516         13          1          0 
       131              NGC1542              NGC1542   64.30906    4.78173         11          1          0 
       132             UGC03038             UGC03038   66.25546    7.17097         11          0          0 
       133             UGC03107             UGC03107   69.34106    9.54465         12          0          0 
       134              NGC1645              NGC1645   71.02666   -5.46567          9          2          0 
       135             UGC03151             UGC03151   71.33183   11.06795         10          1          0 
       136              NGC1656              NGC1656   71.47243   -5.13672          6          0          0 
       137              NGC1659              NGC1659   71.62476   -4.78885         13          1          0 
       138              NGC1665              NGC1665   72.07117   -5.42761          8          1          0 
       139              NGC1666              NGC1666   72.13685   -6.57005          9          2          0 
       140              NGC1667              NGC1667   72.15492   -6.31998         13          2          0 
       141               IC2095               IC2095   72.19116   -5.12463         14          1          0 
       142               IC2098               IC2098   72.68449   -5.41839         12          1          0 
       143              NGC1677              NGC1677   72.71700   -4.89266         15          1          0 
       144               IC2101               IC2101   72.92567   -6.23154         15          1          0 
       145               ARP180               ARP180   73.35252   -4.79268         15          1          1 
       146             UGC03253             UGC03253   79.92452   84.05263         12          2          0 
       147              NGC2253              NGC2253  100.92432   65.20637         13          2          0 
       148             UGC03539             UGC03539  102.22500   66.26163         14          1          0 
       149              NGC2347              NGC2347  109.01704   64.71133         13          1          0 
       150             UGC03899             UGC03899  113.15730   35.61448         16          0          0 
       151              NGC2410              NGC2410  113.75942   32.82210         12          1          0 
       152             UGC03944             UGC03944  114.65211   37.63351         13          1          0 
       153             UGC03969             UGC03969  115.30977   27.61407         12          0          0 
       154             UGC03973             UGC03973  115.63676   49.80966         13          2          0 
       155             UGC03995             UGC03995  116.03803   29.24743         12          2          0 
       156              NGC2449              NGC2449  116.83458   26.93020         11          1          0 
       157             UGC04029             UGC04029  117.07901   34.33226         14          1          0 
       158             UGC04054             UGC04054  117.73355   23.89591         15          0          0 
       159               IC0480               IC0480  118.84679   26.74112         14          1          0 
       160              NGC2476              NGC2476  119.18828   39.92789          6          0          0 
       161              NGC2480              NGC2480  119.29352   23.77981         17          0          1 
       162              NGC2481              NGC2481  119.30730   23.76777          8          0          0 
       163              NGC2486              NGC2486  119.48537   25.16087         11          2          0 
       164              NGC2487              NGC2487  119.58527   25.14921         12          2          0 
       165             UGC04132             UGC04132  119.80436   32.91467         13          1          0 
       166             UGC04140             UGC04140  119.84258   18.11019         15          0          0 
       167             UGC04145             UGC04145  119.91717   15.38681         10          1          0 
       168             UGC04136             UGC04136  119.97683   47.41310         10          1          0 
       169               IC0485               IC0485  120.08236   26.70144         11          1          0 
       170              NGC2507              NGC2507  120.40504   15.70974          9          0          0 
       171              NGC2513              NGC2513  120.60280    9.41355          2          0          0 
       172             UGC04176             UGC04176  120.67854   40.67863         16          1          0 
       173             UGC04190             UGC04190  120.73972   16.29931          9          0          0 
       174             UGC04197             UGC04197  120.85636   10.05053         11          1          0 
       175             UGC04210             UGC04210  121.27251   25.06258         15          0          0 
       176             UGC04195             UGC04195  121.27876   66.78304         12          2          0 
       177              NGC2522              NGC2522  121.55602   17.70658         11          0          0 
       178             UGC04233             UGC04233  121.82196    8.86906         13          0          0 
       179              NGC2530              NGC2530  121.98170   17.81850         16          1          0 
       180             UGC04240             UGC04240  122.02554   14.83775         12          1          0 
       181             UGC04245             UGC04245  122.19096   18.19421         13          1          0 
       182             UGC04258             UGC04258  122.69913   46.91228         17          0          0 
       183              NGC2540              NGC2540  123.19353   26.36178         13          2          0 
       184              NGC2543              NGC2543  123.24136   36.25463         13          2          0 
       185             UGC04280             UGC04280  123.63893   54.79956         12          1          0 
       186               IC2247               IC2247  123.99623   23.19962         11          0          0 
       187             UGC04308             UGC04308  124.35751   21.68549         14          2          0 
       188              NGC2553              NGC2553  124.39583   20.90306         12          1          0 
       189              NGC2554              NGC2554  124.47295   23.47218          9          0          0 
       190             UGC04262             UGC04262  124.76159   83.26645         13          1          0 
       191              NGC2558              NGC2558  124.80317   20.51073         12          1          0 
       192              NGC2565              NGC2565  124.95126   22.03145         12          2          0 
       193             UGC04323             UGC04323  125.08287   66.98206          5          0          0 
       194              NGC2572              NGC2572  125.35263   19.14778         10          1          0 
       195              NGC2577              NGC2577  125.68102   22.55307          7          0          0 
       196             UGC04375             UGC04375  125.79683   22.66465         13          0          0 
       197               IC2341               IC2341  125.92268   21.43488          6          0          0 
       198             UGC04386             UGC04386  126.00683   21.02717         13          1          0 
       199               IC2361               IC2361  126.43540   27.87457         13          0          0 
       200             UGC04405             UGC04405  126.63702   23.19275         11          0          0 
       201              NGC2592              NGC2592  126.78355   25.97032          4          0          0 
       202             UGC04416             UGC04416  126.81998   22.87758         13          2          0 
       203              NGC2596              NGC2596  126.86049   17.28408         13          0          0 
       204              NGC2595              NGC2595  126.92509   21.47910         14          1          0 
       205             UGC04425             UGC04425  127.05994   28.05731         14          2          0 
       206              NGC2598              NGC2598  127.51051   21.48865         11          1          0 
       207             UGC04464             UGC04464  128.25084   26.01403         14          2          0 
       208             UGC04461             UGC04461  128.34447   52.53226         13          0          0 
       209              NGC2604              NGC2604  128.34641   29.53881         16          2          0 
       210             UGC04468             UGC04468  128.37820   41.52547          7          0          0 
       211             UGC04505             UGC04505  129.04858   50.41899         12          0          0 
       212              NGC2620              NGC2620  129.36758   24.94672         11          1          0 
       213              NGC2623              NGC2623  129.60005   25.75453         15          1          1 
       214             UGC04515             UGC04515  130.03946   52.45599         12          2          0 
       215             UGC04532             UGC04532  130.42192   18.85993         15          0          0 
       216              NGC2638              NGC2638  130.60738   37.22104         12          0          0 
       217             UGC04548             UGC04548  130.78143   18.22260         13          1          0 
       218             UGC04550             UGC04550  130.81635   13.08580         12          1          0 
       219              NGC2639              NGC2639  130.90860   50.20554         10          0          0 
       220             UGC04546             UGC04546  130.96387   51.99120         10          1          0 
       221             UGC04551             UGC04551  131.02466   49.79387          8          0          0 
       222             UGC04559             UGC04559  131.03172   30.11914         11          0          0 
       223               IC2393               IC2393  131.70496   28.17131          3          0          0 
       224             UGC04587             UGC04587  131.84471   49.55878          7          0          0 
       225               IC2407               IC2407  132.03812   17.61147         13          0          0 
       226             UGC04659             UGC04659  133.66890   47.10489         17          0          0 
       227              NGC2692              NGC2692  134.24171   52.06595         10          2          0 
       228              NGC2693              NGC2693  134.24695   51.34743          3          0          0 
       229              NGC2710              NGC2710  134.95172   55.70623         14          2          0 
       230              NGC2719              NGC2719  135.06546   35.72763         16          0          1 
       231             UGC04722             UGC04722  135.10056   25.61474         17          0          0 
       232              NGC2730              NGC2730  135.56593   16.83829         15          2          0 
       233              NGC2735              NGC2735  135.66110   25.93459         11          1          1 
       234              NGC2738              NGC2738  136.00192   21.96761         15          1          0 
       235 2MASXJ09043394+4517323 2MASXJ09043394+4517323  136.14105   45.29221         14          0          0 
       236             UGC04773             UGC04773  136.50122   18.76457         12          1          0 
       237               IC2434               IC2434  136.81686   37.21537         13          2          0 
       238              NGC2764              NGC2764  137.07278   21.44334         11          1          1 
       239             UGC04800             UGC04800  137.33102   54.91195         14          2          0 
       240             NGC2742A             NGC2742A  137.49199   62.24736         12          1          1 
       241              NGC2769              NGC2769  137.63402   50.43327         11          1          0 
       242              NGC2776              NGC2776  138.06052   44.95485         13          0          0 
       243              NGC2778              NGC2778  138.10156   35.02753          4          0          0 
       244             UGC04845             UGC04845  138.10779    9.95552         15          2          0 
       245             UGC04851             UGC04851  138.35785   52.98132          6          0          0 
       246              NGC2783              NGC2783  138.41444   29.99296          6          0          1 
       247             UGC04869             UGC04869  138.64603   30.14156         11          0          0 
       248              NGC2794              NGC2794  139.00745   17.58982         12          0          0 
       249              NGC2795              NGC2795  139.01633   17.62837          1          0          0 
       250              NGC2796              NGC2796  139.17439   30.91541          4          0          0 
       251               IC2450               IC2450  139.27200   25.42916         16          1          0 
       252             UGC04906             UGC04906  139.41631   52.99292         11          0          0 
       253              NGC2800              NGC2800  139.64673   52.51444          2          0          0 
       254             UGC04926             UGC04926  139.64841   34.55322         12          0          0 
       255          CGCG151-054          CGCG151-054  139.69815   27.95627          5          0          1 
       256             UGC04938             UGC04938  139.79480   20.24296         12          2          0 
       257              NGC2826              NGC2826  139.85069   33.62400         10          1          0 
       258              NGC2832              NGC2832  139.94527   33.74974          4          0          1 
       259               IC2461               IC2461  139.99178   37.19126         11          1          0 
       260              NGC2805              NGC2805  140.08493   64.10297         14          0          0 
       261             UGC04958             UGC04958  140.26102   49.60229         12          1          0 
       262             UGC04970             UGC04970  140.43983   39.52480         12          0          0 
       263             UGC04982             UGC04982  140.76286   44.55494         14          0          0 
       264              NGC2854              NGC2854  141.01178   49.20381         13          2          0 
       265              NGC2860              NGC2860  141.22173   41.06018         11          2          0 
       266              NGC2872              NGC2872  141.42723   11.43214          3          0          0 
       267              NGC2874              NGC2874  141.44817   11.42822         13          2          0 
       268             UGC05020             UGC05020  141.50621   34.65345         15          0          0 
       269              NGC2882              NGC2882  141.64932    7.95445         13          0          0 
       270 2MASXJ09283754+3832213 2MASXJ09283754+3832213  142.15646   38.53922         17          1          0 
       271              NGC2894              NGC2894  142.37605    7.71881         10          0          0 
       272              NGC2880              NGC2880  142.39403   62.49057          7          1          0 
       273               IC2487               IC2487  142.53819   20.09085         14          1          0 
       274               IC0540               IC0540  142.54308    7.90275         11          1          0 
       275              NGC2906              NGC2906  143.02592    8.44177         13          0          0 
       276              NGC2919              NGC2919  143.69800   10.28371         14          1          0 
       277              NGC2916              NGC2916  143.74001   21.70526         13          0          0 
       278             UGC05108             UGC05108  143.85951   29.81262         12          2          0 
       279              NGC2918              NGC2918  143.93350   31.70547          6          0          0 
       280             UGC05111             UGC05111  144.21896   66.78830         12          1          0 
       281             UGC05113             UGC05113  144.23784   66.54868          9          1          0 
